token,rows,rows_where_token_is_the_symbol,example_gene_id,example_tax_id,example_full_name
transcription factor TFIIIB component B'' homolog isoform 1;transcription factor TFIIIB component B'' homolog isoform 2;transcription factor TFIIIB component B'' homolog isoform 3;transcription factor TFIIIB component B'' homolog isoform 4;transcription factor TFIIIB component B'' homolog isoform 5;transcription factor TFIIIB component B'' homolog isoform 6;transcription factor TFIIIB component B'' homolog isoform 7;transcription factor TFIIIB component B'' homolog isoform 8;transcription factor TFIIIB component B'' homolog isoform 9,3,0,309460224,35669,BDP1 general transcription factor IIIB subunit
vacuolar proton pump 21 kDa proteolipid subunit c'',3,0,533,9606,ATPase H+ transporting V0 subunit b
2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,2,0,879248,208964,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
"5',5'''-P-1,P-4-tetraphosphate phosphorylase",2,0,94315621,4785,"5',5'''-P-1,P-4-tetraphosphate phosphorylase"
"APA2, ATP adenylyltransferase (5',5'''-P-1,P-4-tetraphosphate phosphorylase II)",2,0,6343676,45151,"APA2, ATP adenylyltransferase (5',5'''-P-1,P-4-tetraphosphate phosphorylase II)"
Anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase,2,0,102622417,2711,cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1-like
C' protein;C'' protein;phosphoprotein,2,0,26122646,1569258,P
"DNA-directed RNA polymerase, subunit E''",2,0,43738847,1535962,"DNA-directed RNA polymerase, subunit E''"
"Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase II (AP4A phosphorylase)",2,0,8196588,644223,"Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase II (AP4A phosphorylase)"
Serine/threonine-protein phosphatase 2A regulatory subunit B'',2,0,122894083,452646,protein phosphatase 2 regulatory subunit B''gamma
Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma family,2,0,4770446,412133,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma family
V-type ATPase V0 subunit c'',2,0,2541999,4896,V-type ATPase V0 subunit c''
V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 1;V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 2;V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 3,2,0,306805789,37610,ATPase H+ transporting V0 subunit b
aminoglycoside O-phosphotransferase APH(2'')-IIa,2,0,93304761,1432052,aminoglycoside O-phosphotransferase APH(2'')-IIa
aminoglycoside O-phosphotransferase APH(7'')-Ia,2,0,89480111,68042,aminoglycoside O-phosphotransferase APH(7'')-Ia
aminoglycoside nucleotidyltransferase ANT(3'')-IId,2,0,58164694,108981,aminoglycoside nucleotidyltransferase ANT(3'')-IId
"diadenosine 5',5'''-P1,P4-tetraphosphate hydrolase",2,0,109336402,3871,"nudix hydrolase 26, chloroplastic-like"
"diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase 2",2,0,73326982,700344,"diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase 2"
"diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 3-alpha",2,0,170685,9606,nudix hydrolase 10
exonuclease 3''-5'' domain-like 2,2,0,97827,10090,exonuclease 3'-5' domain containing 2
malonyl-CoA:isoflavone 7-O-glucoside-6''-O-malonyltransferase,2,0,100127365,3847,malonyl-CoA:isoflavone 7-O-glucoside-6''-O-malonyltransferase
plastid-encoded DNA-directed RNA polymerase beta'' subunit,2,0,84337931,76160,plastid-encoded DNA-directed RNA polymerase beta'' subunit
plastocyanin A'/A''-like,2,0,140801077,4733,plastocyanin A'/A''-like
"protein phosphatase 2 regulatory subunit B'', beta pseudogene",2,0,390705,9606,protein phosphatase 2 regulatory subunit B''beta pseudogene
putative 3''-deamino-3''-oxonicotianamine reductase,2,0,112179405,74649,non-functional NADPH-dependent codeinone reductase 2
"putative 5',5'''-P-1,P-4-tetraphosphate phosphorylase",2,0,39598376,264951,"putative 5',5'''-P-1,P-4-tetraphosphate phosphorylase"
putative anthocyanin 5-(6'''-hydroxycinnamoyltransferase),2,0,11443795,3880,anthocyanin 5-aromatic acyltransferase
putative serine/threonine protein phosphatase 2A regulatory subunit B''epsilon,2,0,108818858,3726,probable serine/threonine protein phosphatase 2A regulatory subunit B''epsilon
putative serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma,2,0,110865121,4232,probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2
putative serinethreonine protein phosphatase 2a regulatory subunit b''gamma,2,0,109214373,49451,serine/threonine protein phosphatase 2A regulatory subunit B''beta-like
putative transcription factor tfiiib component b'',2,0,144111234,6943,uncharacterized LOC144111234
serine/threonine-protein phosphatase 2A regulatory subunit B'' gamma subunit,2,0,533147,9913,protein phosphatase 2 regulatory subunit B''gamma
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 2;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 3;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 4;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 5,2,0,310904295,8843,protein phosphatase 2 regulatory subunit B''alpha
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha-like isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha-like isoform 2,2,0,306846699,40830,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha-like
transcription factor TFIIIB component B'' homolog isoform 1;transcription factor TFIIIB component B'' homolog isoform 10;transcription factor TFIIIB component B'' homolog isoform 2;transcription factor TFIIIB component B'' homolog isoform 3;transcription factor TFIIIB component B'' homolog isoform 4;transcription factor TFIIIB component B'' homolog isoform 5;transcription factor TFIIIB component B'' homolog isoform 6;transcription factor TFIIIB component B'' homolog isoform 7;transcription factor TFIIIB component B'' homolog isoform 8;transcription factor TFIIIB component B'' homolog isoform 9,2,0,309890106,189534,BDP1 general transcription factor IIIB subunit
transcription factor TFIIIB component B'' homolog isoform 1;transcription factor TFIIIB component B'' homolog isoform 2,2,0,309860656,36239,BDP1 general transcription factor IIIB subunit
transcription factor TFIIIB component B''-like protein,2,0,103182713,7868,transcription factor TFIIIB component B'' homolog
transcription factor TFIIIB component b'',2,0,23884147,235443,transcription factor TFIIIB component b''
u2 small nuclear ribonucleoprotein B''-like protein,2,0,100050830,9796,small nuclear ribonucleoprotein polypeptide B2
3-O-glucoside-2''-O-glucosyltransferase,1,0,109188143,35883,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase
4''-phosphopantetheinyl transferase,1,0,9527137,663331,4''-phosphopantetheinyl transferase
5''''-methylthioadenosine nucleosidase,1,0,25569084,461836,5''''-methylthioadenosine nucleosidase
"5',5'''-P-1,P-4-tetraphosphate phosphorylase, putative",1,0,8099038,441959,"5',5'''-P-1,P-4-tetraphosphate phosphorylase, putative"
6'-aminoglycoside N-acetyltransferase/2''-aminoglycoside phosphotransferase,1,0,93009001,2026188,6'-aminoglycoside N-acetyltransferase/2''-aminoglycoside phosphotransferase
ADP-ribose 1''-phosphate phophatase related protein,1,0,79673440,2917160,ADP-ribose 1''-phosphate phophatase related protein
"ADP-ribose 1''-phosphate phosphatase, variant",1,0,23569509,367110,ADP-ribose 1''-phosphate phosphatase
ANT(3'')-I family aminoglycoside adenylyltransferase,1,0,61762757,61652,ANT(3'')-I family aminoglycoside adenylyltransferase
ANT(3'')-I family aminoglycoside nucleotidyltransferase AadA33,1,0,312180327,3342829,ANT(3'')-I family aminoglycoside nucleotidyltransferase AadA33
ANT(3'')-I family aminoglycoside nucleotidyltransferase AadA36,1,0,93519272,588,ANT(3'')-I family aminoglycoside nucleotidyltransferase AadA36
ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25,1,0,67369351,75985,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25
ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5,1,0,99708503,3133180,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5
ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6,1,0,69562817,363952,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6
ASF/SF2-like pre-mRNA splicing factor SRP31'',1,0,100285019,4577,uncharacterized LOC100285019
ASF/SF2-like pre-mRNA splicing factor SRP31''',1,0,100285019,4577,uncharacterized LOC100285019
Anthocyanin 5-O-glucoside-4'''-O-malonyltransferase 2,1,0,121782908,180675,pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase
B'',1,0,42368,7227,uncharacterized protein
B''ALPHA,1,0,112023285,58331,serine/threonine protein phosphatase 2A regulatory subunit B''alpha
B''BETA,1,0,112032454,58331,serine/threonine protein phosphatase 2A regulatory subunit B''beta
B''GAMMA,1,0,112032454,58331,serine/threonine protein phosphatase 2A regulatory subunit B''beta
B''GAMMA_0,1,0,109214373,49451,serine/threonine protein phosphatase 2A regulatory subunit B''beta-like
B''GAMMA_1,1,0,109238643,49451,serine/threonine protein phosphatase 2A regulatory subunit B''beta-like
C-glycosyl-2-hydroxyflavanone 2''-O-glycosyltransferase,1,0,107432473,326968,UDP-glycosyltransferase 79B6
DNA-directed RNA polymerase beta'' protein,1,0,36490412,148910,DNA-directed RNA polymerase beta'' protein
"DNA-directed RNA polymerase subunit beta'', conserved subunit in apicomplexa and chloroplasts",1,0,32877944,1133968,"DNA-directed RNA polymerase subunit beta'', conserved subunit in apicomplexa and chloroplasts"
"Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase",1,0,59345245,2126181,"Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase"
"Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase",1,0,41987620,1316788,"Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase"
"Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 3-alpha",1,0,58242,10090,nudix hydrolase 11
"Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 3-beta",1,0,102954,10090,nudix hydrolase 10
Erythromycin 3''-O-methyltransferase,1,0,71967265,181762,Erythromycin 3''-O-methyltransferase
Flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase,1,0,109805578,3821,putative UDP-rhamnose:rhamnosyltransferase 1
"GDP-mannose-3'',5''-epimerase",1,0,4348636,39947,"GDP-mannose 3,5-epimerase 1-like"
GmF3G''Rt-a,1,0,100819964,3847,flavonol 3-O-glucoside (1->6) rhamnosyltransferase
GmF3G2''Gt-a,1,0,100787444,3847,UDP-glycosyltransferase 79B30
GmF3G2''Gt-b,1,0,100787444,3847,UDP-glycosyltransferase 79B30
GmF3G6''Rt-b,1,0,100819964,3847,flavonol 3-O-glucoside (1->6) rhamnosyltransferase
Hydra vulgaris U2 small nuclear ribonucleoprotein B'',1,0,100200713,6087,U1 small nuclear ribonucleoprotein A
Ld-FP'',1,0,1488607,10449,Ld-FP''
Malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase,1,0,100272672,4577,uncharacterized LOC100272672
Mycinamicin VI 2''-O-methyltransferase,1,0,41985575,1316788,Mycinamicin VI 2''-O-methyltransferase
NIMNA (Sanskrit for '''sunken'' or ''low''),1,0,817877,3702,glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein
PP2A B'' subunit PR130,1,0,398609,8355,"protein phosphatase 2 regulatory subunit B, alpha L homeolog"
PP2A B'' subunit PR48,1,0,398610,8355,"protein phosphatase 2 regulatory subunit B', beta L homeolog"
PP2A B'' subunit PR74,1,0,398611,8355,"protein phosphatase 2 regulatory subunit B, alpha S homeolog"
PP2A B''-PR59,1,0,19054,10090,"protein phosphatase 2 (formerly 2A), regulatory subunit B'', delta"
PP2A-B'',1,0,42368,7227,uncharacterized protein
PR130/B''alpha1 subunit,1,0,5523,9606,protein phosphatase 2 regulatory subunit B''alpha
PR72/B''alpha2 subuit,1,0,5523,9606,protein phosphatase 2 regulatory subunit B''alpha
"Phosphatase that is highly specific for ADP-ribose 1''-phosphate, a tRNA splicing metabolite",1,0,8198466,644223,"Phosphatase that is highly specific for ADP-ribose 1''-phosphate, a tRNA splicing metabolite"
Poa1p-like Appr-1''-p processing protein,1,0,77956994,2724322,Poa1p-like Appr-1''-p processing protein
Probable serine/threonine protein phosphatase 2A regulatory subunit B''gamma,1,0,112032454,58331,serine/threonine protein phosphatase 2A regulatory subunit B''beta
Probable serine/threonine protein phosphatase 2A regulatory subunit B''gamma-like,1,0,100384234,4577,Serine/threonine protein phosphatase 2A regulatory subunit B''alpha
Probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2,1,0,100282304,4577,uncharacterized LOC100282304
"Protein phosphatase 2, regulatory subunit B'', alpha",1,0,122908920,452646,protein phosphatase 2 regulatory subunit B''alpha
Putative vacuolar h+-atpase v0 sector subunit c'',1,0,112314545,9430,V-type proton ATPase 21 kDa proteolipid subunit c''
RNA polymerase III transcription initiation factor B'',1,0,55814,9606,BDP1 general transcription factor IIIB subunit
RNA polymerase beta'' subunit (chloroplast),1,0,118042356,43335,DNA-directed RNA polymerase subunit beta''
Serine/threonine protein phosphatase 2A regulatory subunit B''beta-like,1,0,100279229,4577,uncharacterized LOC100279229
Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha-like protein,1,0,100053302,9796,protein phosphatase 2 regulatory subunit B''alpha
Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like 1,1,0,121864559,6706,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like
Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like 2,1,0,121861879,6706,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like
Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like Protein,1,0,659659,7070,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma
TFIIIB'',1,0,55814,9606,BDP1 general transcription factor IIIB subunit
TaPP2AbB''-alpha,1,0,123121281,4565,probable serine/threonine protein phosphatase 2A regulatory subunit B''delta
Transcription factor TFIIIB component B'' -like protein,1,0,130516994,433684,uncharacterized LOC130516994
Transcription factor TFIIIB component B'' Myb domain-containing protein,1,0,120957415,1518534,transcription factor TFIIIB component B'' homolog Bdp1
U2 small nuclear ribonucleoprotein B'' isoform 1;U2 small nuclear ribonucleoprotein B'' isoform 2;U2 small nuclear ribonucleoprotein B'' isoform 3;U2 small nuclear ribonucleoprotein B'' isoform 4,1,0,309899528,110926,small nuclear ribonucleoprotein polypeptide B2
U2 small nuclear ribonucleoprotein B''like,1,0,121120354,72036,U1 small nuclear ribonucleoprotein A snf
U2 snRNP B'' protein,1,0,31442,7227,sans fille
V-ATPase subunit c'',1,0,533,9606,ATPase H+ transporting V0 subunit b
V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 1;V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 2;V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 3;V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 4;V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 5;V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 6;V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 7,1,0,309591464,257867,ATPase H+ transporting V0 subunit b
"V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 5;V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 6;beta-1,4-galactosyltransferase 2 isoform 1;beta-1,4-galactosyltransferase 2 isoform 2;beta-1,4-galactosyltransferase 2 isoform 3;beta-1,4-galactosyltransferase 2 isoform 4",1,0,309471747,35669,V-type proton ATPase 21 kDa proteolipid subunit c''
V-type proton ATPase 21 kDa proteolipid subunit c''-like isoform 1,1,0,306846164,40830,V-type proton ATPase 21 kDa proteolipid subunit c''-like
V-type proton ATPase c'' subunit,1,0,125032496,139456,V-type proton ATPase 21 kDa proteolipid subunit c''-like
V0c'',1,0,45247,7227,Vacuolar H[+] ATPase PPA1 subunit 1
VHA-C''1_0,1,0,109227387,49451,V-type proton ATPase subunit c''1
VHA-C''1_1,1,0,109232095,49451,V-type proton ATPase subunit c''1-like
VHA-c''2_1,1,0,112019332,58331,V-type proton ATPase subunit c''2
VHA-c''2_2,1,0,112033894,58331,V-type proton ATPase subunit c''2-like
XFD-12'',1,0,373630,8355,"forkhead box D4 like 1, gene 2 L homeolog"
aminoglycoside (3'') (9) adenylyltransferase,1,0,120227784,95912,aminoglycoside (3'') (9) adenylyltransferase
aminoglycoside nucleotidyltransferase ANT(3'')-IIa,1,0,92892145,470,aminoglycoside nucleotidyltransferase ANT(3'')-IIa
aminoglycoside nucleotidyltransferase ANT(3'')-IIc,1,0,99691275,134533,aminoglycoside nucleotidyltransferase ANT(3'')-IIc
anthocyanidin 3-o-glucoside 6''-o-acyltransferase,1,0,112012865,58331,phenolic glucoside malonyltransferase 1
anthocyanin 3-O-glucoside-6''-O-hydroxycinnamoyltransferase,1,0,121787691,180675,anthocyanidin 3-O-glucoside 6''-O-acyltransferase
anthocyanin 5-O-glucoside-4'''-O-malonyltransferase,1,0,121782908,180675,pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase
bet'' subunit of RNA polymerase,1,0,38332760,263836,bet'' subunit of RNA polymerase
bifunctional Homeobox-like domain superfamily/Transcription factor TFIIIB component B'',1,0,94337077,323732,Myb domain
cardiotoxin 7''-like,1,0,143462401,159417,cardiotoxin 7''-like
coumaroyl-coa:anthocyanidin 3-o-glucoside-6''-o-coumaroyltransferase 2,1,0,109229160,49451,malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like
"diadenosine 5',5''-P1,P4-tetraphosphate pyrophosphohydrolase",1,0,318,9606,nudix hydrolase 2
dna-directed rna polymerase subunit beta'',1,0,136061728,58331,DNA-directed RNA polymerase subunit beta''-like
erythromycin 3''-O-methyltransferase,1,0,131776702,203993,erythromycin 3''-O-methyltransferase
fd12-A'',1,0,373630,8355,"forkhead box D4 like 1, gene 2 L homeolog"
fork head domain-related protein 12'',1,0,373630,8355,"forkhead box D4 like 1, gene 2 L homeolog"
gmF3G6''Rt-a,1,0,100819964,3847,flavonol 3-O-glucoside (1->6) rhamnosyltransferase
hypothetical protein RF1'',1,0,70615324,190232,hypothetical protein RF1''
malonyl CoA:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase,1,0,121759295,180675,malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase
nrdB'',1,1,14008049,1052121,aerobic NDP reductase small subunit
probable ADP-ribose 1''-phosphate phosphatase YML087W,1,0,106177285,7574,probable ADP-ribose 1''-phosphate phosphatase YML087W
probable U2 small nuclear ribonucleoprotein B'',1,0,119767212,7176,probable U2 small nuclear ribonucleoprotein B''
"protein phosphatase 2 , regulatory subunit B'', alpha",1,0,101670169,9669,protein phosphatase 2 regulatory subunit B''alpha
"protein phosphatase 2 , regulatory subunit B'', beta",1,0,101677056,9669,protein phosphatase 2 regulatory subunit B''beta
"protein phosphatase 2 , regulatory subunit B'', gamma",1,0,101670213,9669,protein phosphatase 2 regulatory subunit B''gamma
protein phosphatase 2 regulatory subunit B'' alpha,1,0,113116485,7957,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha
protein phosphatase 2 regulatory subunit B'' beta,1,0,113108149,7957,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta
protein phosphatase 2 regulatory subunit B'''alpha,1,0,6801,9606,striatin
protein phosphatase 2 regulatory subunit B'''beta,1,0,29966,9606,striatin 3
protein phosphatase 2 regulatory subunit B'''gamma,1,0,29888,9606,striatin 4
"protein phosphatase 2 regulatory subunit B'', gamma",1,0,423324,9031,protein phosphatase 2 regulatory subunit B''gamma
putative ADP-ribose 1''-phosphate protein,1,0,18254717,759272,putative ADP-ribose 1''-phosphate protein
putative H(+)-transporting V0 sector ATPase subunit c'',1,0,23567644,5270,putative H(+)-transporting V0 sector ATPase subunit c''
"putative Homeobox-like domain superfamily, transcription factor TFIIIB component B''",1,0,110884610,4232,transcription factor TFIIIB component B''-like
putative Transcription factor TFIIIB component B'',1,0,116919440,35525,transcription factor TFIIIB component B'' homolog Bdp1
putative U2 small nuclear ribonucleoprotein B'',1,0,36514840,45607,putative U2 small nuclear ribonucleoprotein B''
putative V-type proton ATPase subunit c''2,1,0,94203021,2049356,putative V-type proton ATPase subunit c''2
putative anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase,1,0,112201527,74649,UDP-glycosyltransferase 79B6
putative erythromycin 3''-O-methyltransferase,1,0,11418346,3880,uncharacterized LOC11418346
"putative homeodomain-like, SANT domain, Transcription factor TFIIIB component B''",1,0,110884609,4232,transcription factor TFIIIB component B''
putative malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase,1,0,110921449,4232,malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase
putative serine-threonine-protein phosphatase 2a regulatory subunit b'' subunit alpha,1,0,144127512,6943,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like
putative serine-threonine-protein phosphatase 2a regulatory subunit b'' subunit beta,1,0,144130453,6943,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like
putative serine/threonine protein phosphatase 2A regulatory subunit B''delta-like,1,0,120120550,106335,uncharacterized LOC120120550
putative serine/threonine protein phosphatase 2a regulatory subunit b''gamma,1,0,112032454,58331,serine/threonine protein phosphatase 2A regulatory subunit B''beta
putative serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit ton2,1,0,127073729,3888,probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2
putative serine/threonine-protein phosphatase 2a regulatory subunit b'' subunit gamma,1,0,129795961,7200,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like
putative serine/threonine-protein phosphatase 2a regulatory subunit b'' subunit ton2,1,0,112020615,58331,probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2
putative serinethreonine-protein phosphatase 2a regulatory subunit b'' subunit ton2,1,0,109213993,49451,probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2
putative streptomycin 3''-adenylyltransferase,1,0,64844107,5059,putative streptomycin 3''-adenylyltransferase
putative transcription factor TFIIIB component B'',1,0,94198775,2049356,putative transcription factor TFIIIB component B''
rRNA polymerase beta'' subunit,1,0,16791830,2511165,rRNA polymerase beta'' subunit
"related to 5',5'''-P-1,P-4-tetraphosphate phosphorylase 2",1,0,35396876,1279085,"related to 5',5'''-P-1,P-4-tetraphosphate phosphorylase 2"
rrn23'',1,1,72639260,2871442,23S ribosomal RNA
serine/threonine protein phosphatase 2 regulatory subunit B'' gamma,1,0,112980342,8790,protein phosphatase 2 regulatory subunit B''gamma
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 2;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 3;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 4;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 5;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 6,1,0,309424542,8853,protein phosphatase 2 regulatory subunit B''alpha
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 2;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 3;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 4;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 5;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 6;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 7,1,0,309904761,110926,protein phosphatase 2 regulatory subunit B''alpha
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha pseudogene,1,0,104561082,57412,protein phosphatase 2 regulatory subunit B''alpha
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 2;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 3;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 4;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 5;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 6,1,0,309894781,110926,protein phosphatase 2 regulatory subunit B''beta
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform X1,1,0,94313408,135588,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform X1
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit delta-like isoform 1,1,0,308433991,13151,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit delta-like
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit delta-like isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit delta-like isoform 2,1,0,311604552,83528,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit delta-like
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like protein,1,0,109697240,51338,protein phosphatase 2 regulatory subunit B''gamma
snRNP B'',1,0,31442,7227,sans fille
spB'',1,0,2538909,4896,transcription factor TFIIIB complex subunit Bdp1
streptomycin 3''-phosphotransferase,1,0,882015,208964,streptomycin 3''-phosphotransferase
"transcription factor TFIIIB B'' component, putative",1,0,8232805,121224,"transcription factor TFIIIB B'' component, putative"
transcription factor TFIIIB component B'' homolog isoform 1,1,0,311520852,27788,BDP1 general transcription factor IIIB subunit
transcription factor TFIIIB component B'' homolog isoform 1;transcription factor TFIIIB component B'' homolog isoform 10;transcription factor TFIIIB component B'' homolog isoform 11;transcription factor TFIIIB component B'' homolog isoform 12;transcription factor TFIIIB component B'' homolog isoform 13;transcription factor TFIIIB component B'' homolog isoform 14;transcription factor TFIIIB component B'' homolog isoform 2;transcription factor TFIIIB component B'' homolog isoform 3;transcription factor TFIIIB component B'' homolog isoform 4;transcription factor TFIIIB component B'' homolog isoform 5;transcription factor TFIIIB component B'' homolog isoform 6;transcription factor TFIIIB component B'' homolog isoform 7;transcription factor TFIIIB component B'' homolog isoform 8;transcription factor TFIIIB component B'' homolog isoform 9,1,0,308455627,107022,BDP1 general transcription factor IIIB subunit
transcription factor TFIIIB component B'' homolog isoform 1;transcription factor TFIIIB component B'' homolog isoform 10;transcription factor TFIIIB component B'' homolog isoform 11;transcription factor TFIIIB component B'' homolog isoform 2;transcription factor TFIIIB component B'' homolog isoform 3;transcription factor TFIIIB component B'' homolog isoform 4;transcription factor TFIIIB component B'' homolog isoform 5;transcription factor TFIIIB component B'' homolog isoform 6;transcription factor TFIIIB component B'' homolog isoform 7;transcription factor TFIIIB component B'' homolog isoform 8;transcription factor TFIIIB component B'' homolog isoform 9,1,0,308231462,232653,BDP1 general transcription factor IIIB subunit
transcription initiation factor TFIIIB component B'',1,0,38738202,76775,transcription initiation factor TFIIIB component B''
trnQ-TTG'',1,1,74863078,656917,tRNA-Gln
u2 small nuclear ribonucleoprotein b'',1,0,128602167,66913,small nuclear ribonucleoprotein polypeptide B2
v-type proton atpase subunit c''1,1,0,109232095,49451,V-type proton ATPase subunit c''1-like
vacuolar ATP synthase subunit c'',1,0,23552488,229533,vacuolar ATP synthase subunit c''
ycf1'',1,1,70615324,190232,hypothetical protein RF1''
